Date,Text,Link,Compensation,Employment Type,Images,Address
2022-01-08 19:30,NYC DOB Project Manager/Expediter,https://newyork.craigslist.org/mnh/egr/d/new-york-nyc-dob-project-manager/7430445480.html,"$52,000 annual, healthcare, remote working",full-time,,"
        ,
We are looking for a full time employee that will spend 50% of the time doing field expediting and 50% of the time doing office work. ,
,
This is a remote work position. Meaning you will work at home with a company provided laptop and make trips to the DOB 1-2 times a week as required. This is a full time position. Our team communicates with each other consistently throughout the day. Teamwork and communication is required. ,
,
Responsibilities,
,
- Go to the DOB borough offices for records research, payment of civil penalties, payment for reinstatements, etc.,
- Attend ECB hearings remotely. Work on DOB NOW for ECB violation removal, L2 approvals, permit pulls, and sign offs.,
- File DOB NOW applications, permit renewals, sign offs, etc. ,
,
Required Credentials:,
,
- 3 years minimum experience in DOB expediting.,
- Must have DOB filing representative ID.,
- Knowledge on how to use DOB NOW.,
- Experience communicating about projects with clients and architects. ,
- No freelancing or ""side work"" permitted.,
,
SALARY: good salary and healthcare benefits. positive working environment with a great team.,
,
PLEASE SEND RESUME AND COVER LETTER TO APPLY.,
,
Expediter, expeditor, filing representative,
    "
2022-01-06 14:21,Top Expediting Firm- Immediate Full time Openings- Excellent Benefits,https://newyork.craigslist.org/mnh/egr/d/new-york-top-expediting-firm-immediate/7429455378.html,DOE - Excellent Benefits,full-time,,"
        ,
Outsource is the leading provider of Building Code and Zoning Consultation, offering a broad scope of services that includes Approvals, Permit Expediting, and Sign Offs. Outsource prides itself on unparalleled expert representation to architects, engineers, building owners, building managers, attorneys, and contractors. Our encyclopedic knowledge of the Municipal Building Codes and Zoning Laws that regulate construction enables us to navigate projects efficiently and quickly through the application, approval, and sign off processes. The final result is the successful completion of all our projects and absolute customer satisfaction.,
,
We have immediate openings for the following:,
,
•	C/O Project Manager,
•	IT Coordinator ,
,
,
Awesome team-oriented work environment and company benefits package.,
,
Company Perks:,
,
- Paid vacation and personal days,
- Paid Holidays,
- Health, Dental, Vision Insurance,
- 401K,
- Company funded HRA,
- Bonus opportunities,
,
- Chance to grow with a dynamic expediting firm who works with elite clients.,
,
,
Please apply on our careers page:,
,
,
    "
2022-01-06 20:47,Architect for Brooklyn Navy Yard Design Build Company,https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-for-brooklyn-navy/7429618848.html,Please let us know your requirements,full-time,,"
        ,
Architect for Brooklyn Navy Yard Design Build Company ,
,
Hiring an architect to join our design fabrication studio. We are group of designers and makers working closely to design build and fabricate Custom Interiors.,
,
The position involves taking projects from initial design meeting through final installation. Involving Client communications, Drawings, and Project Management. ,
,
Urbanhomecraft.com,
,
If you are interested please email a copy of your resume, and portfolio.
    "
2022-01-07 12:59,Interior Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-interior-designer/7429837407.html,TBD,part-time,,"
        ,
Architectural firm looking for an interior design consultant for projects,
in Manhattan and the New York City extended area.,
,
Must have a home office setup and be a resident of the NYC area.,
,
Let's core the Big Apple!,
,
Please send resume and portfolio.,
,
www.artificial-construct.com,
    "
2022-01-06 10:20,ENTRY LEVEL ESTIM/ASST PROJECT MGMR FOR DIV 8 (DOOR & HW) DISTRIBUTOR,https://newyork.craigslist.org/que/egr/d/new-hyde-park-entry-level-estim-asst/7429324787.html,communersate with experience,full-time,,"
        ,
WE ARE LOOKING TO HIRE A FULL TIME ESTIMATOR / ASSISTANT PROJECT MANAGER FOR AN ARCHITECTURAL DOOR & HARDWARE DISTRIBUTION COMPANY.,
,
EXPERIENCE PREFERRED IN THE DOOR & HARDWARE DISTRIBUTION INDUSTRY,,
BUT NOT REQUIRED IF YOU ARE A VERY DETAILED PERSON SINCE YOU WILL BE LOOKING,
AT ARCHITECTURAL BLUEPRINTS AND SPECIFICATIONS MOST OF THE DAY.,
SALARY COMMENSURATE WITH RELATED EXPERIENCE ALONG WITH MEDICAL BENEFITS.,
BACHELOR'S DEGREE REQUIRED IN ENGINEERING, SCIENCE OR MATH.,
,
MUST BE ABLE TO READ ARCHITECTURAL DRAWINGS, SPECIFICATIONS &,
DO QUANTITY TAKE OFFS TO PROPERLY ESTIMATE JOBS.,
,
SKILLS IN MICROSOFT OFFICE ESPECIALLY WORD, EXCEL ,
AND ADODE ACROBAT REQUIRED.  AUTO CAD EXPERIENCE A PLUS.,
,
MUST BE AT LEAST A LEGAL PERMANENT RESIDENT OF THE UNITED STATES ALONG WITH EXCELLENT VERBAL AND WRITING SKILLS IN ENGLISH.,
,
PLEASE EMAIL YOUR RESUME.  ,
WE WILL CALL YOU TO SET UP AN INTERVIEW ONCE WE REVIEW YOUR RESUME.,
,
WE ARE CONVENIENTLY LOCATED WITHIN WALKING DISTANCE TO THE,
LIRR STATION AND LONG ISLAND BUS (NICE).
    "
2022-01-07 15:40,Draftsperson/ Project manager,https://newyork.craigslist.org/que/egr/d/astoria-draftsperson-project-manager/7429927587.html,depending on experience,full-time,,"
        ,
High End Custom Millwork firm is seeking a F/T draftsperson to prepare detailed shop drawings using Autocad.  Must work with clients, site survey for field dimensions, coordinate with factory foreman and overlook project from start to final punch list.  Please send salary and resume to Design@nycmillwork.com or call 718-392-2307.,
    "
2022-01-06 09:29,Engineering Consultant,https://newyork.craigslist.org/mnh/egr/d/new-york-city-engineering-consultant/7429304005.html,Compensation is highly competitive based on your qualifications,full-time,,"
        ,
Well established Engineering/Architecture firm with offices in New York City and Westchester County, NY is currently seeking a Project Engineer with 5 years of exterior façade restoration experience.  ** IMMEDIATE HIRE for the right candidate. **  We have MANY new projects.  Candidates should be familiar with FISP - Local Law 11/98 and the repair/renovation of building envelope systems within the New York City metropolitan area.  Experience with Auto-Cad is definitely a plus.,
 ,
•	Successful candidates must be highly motivated and organized with strong project management skills and excellent communication skills.  ,
•	A minimum of a Bachelor's Degree in Architecture, Engineering, or a related field is preferred to consider your application.  ,
•	We offer a very pleasant team-oriented work environment with the option of work from home.  ,
•	We offer excellent benefits including competitive compensation, paid vacation, sick days, 401K, pension plan, profit sharing, bonuses, and career advancement opportunities.  ,
,
Responsibilities would include:,
- Evaluation of existing building façade systems and performing full building inspections.,
- Identify and resolve technical/construction issues to communicate and give direction to contractors.,
- Prepare cost estimates to remedy building deficiencies. ,
- Deliver outstanding customer service through timely responses and proactive solutions. ,
- Proficiency in Word, Excel, and Outlook.  ,
,
Please email your resume with a very brief cover letter telling us about yourself and why you are interested in this position.  ,
,
We look forward to hearing from you.  We are looking to hire IMMEDIATELY.  ,
,
    "
2022-01-05 13:49,Showroom Sales Associste,https://newyork.craigslist.org/que/egr/d/astoria-showroom-sales-associste/7429007620.html,50k+,full-time,,"
        ,
Pro Design, inc. is looking for a committed, motivated candidate to join our growing firm and support our purchasing and showroom team.,
,
We are a reputable high-end supplier, fabricator and installation contractor for natural stone products. Our projects are among NYC’s most distinguished luxury residences and our clientele are leading designers, management agents, and architectural firms in the tri-state area. Our work is regularly featured in Architectural digest and other notable publications.,
,
To be successful in this role candidates MUST have experience in the stone industry, strong administrative experience and proficiency in Microsoft Office, excellent communication skills, and a firm command of the English language.,
,
This positions main duties include:,
-Administrating sample selection,
-Creating purchase orders,
-Cataloging product,
-Initiating walk-in sales,
-Writing estimates ,
-Writing cut tickets,
-Coordinating with internal departments ,
-Tracking the company’s inventory ,
,
For immediate consideration please forward your resume and cover letter including salary requirements.
    "
2022-01-06 11:05,Architect/Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-architect-designer/7429346097.html,Full time salary with full benefits,full-time,,"
        ,
Can you Deign? Document? Communicate?,
,
If so, we are looking for you...........................,
,
MZA/SFA is a Midsize Architectural and Expediting firm located in Midtown Manhattan, specializing in a wide variety of projects. We are currently looking for a highly motivated and energetic mid level architects/designers to join our team that is organized and can communicate well with clients and staff within a small office environment.,
Specifically, we are looking for a Project Architect with experience in alterations of existing buildings.,
The right candidate will have experience working on a variety of Residential, Commercial and Restaurant design projects,
Applicants must be self-motivated and technically strong, experience in restaurant design is a plus.  ,
Responsibilities:,
•	Preparation of presentation drawings as well as construction documents,
•	Attend on-site visits, field reviews and project meetings, construction administration,
•	Prepare and coordinate the review of contractor's schedules, submission of shop drawings and samples.,
•	Participate in team meetings to help resolve project issues, coordination with other disciplines, schedule adherence.,
•	Prepares meeting minutes of most coordination meetings between clients, contractors, and vendors.,
Required Skills:,
•	Minimum 3-10 years New York City experience,
•	Small Firm experience,
•	Professional Degree in Architecture,
•	The candidate will have a strong knowledge of both High-End Modern design, as well as traditional design in keeping with Historic and existing buildings within New York City.,
•	Must have a general understanding of current and traditional materials and products.,
•	Advanced knowledge of architectural building systems.,
•	Advanced knowledge of building codes and ability to research and apply/incorporate into technical documents.,
•	Possess strong hand and advanced CAD drafting skills.,
•	Proficiency in Revit,AutoCad,
•	Ability to communicate both verbally and in writing.,
•	Ability to work in a team environment.,
•	Ability to effectively meet deadlines.,
Principals only. Recruiters, please don't contact this job poster.,
Do NOT contact us with unsolicited services or offers,
    "
2022-01-05 11:35,Brooklyn Millwork Shop Forman,https://newyork.craigslist.org/brk/egr/d/brooklyn-brooklyn-millwork-shop-forman/7428932005.html,Rate depends on experience,full-time,,"
        ,
Brooklyn Millwork Company is seeking a shop foreman. ,
,
The candidate is responsible for ensuring that all work is completed efficiently. Needs to have strong leadership skills, advanced knowledge of millwork, the custom cabinetry industry, and knowledge of all proper job site health and safety policies.,
,
Position Description,
A shop foreman, monitors work activity, production and delivery schedules, works with clients and customers, orders samples and supplies, enforces rules and regulations associated with the job site.,
,
Essential Duties and Responsibilities of a Shop Foreman,
•	Creates and manages production and delivery schedule.,
•	Oversees daily work of shops and employees.,
•	Processes customer and client work orders.,
•	Enters customer and job information into computer database.,
•	Maintains work records and files.,
•	Assigns duties to shop managers.,
•	Assists in repair, construction, maintenance or other tasks involved in client work orders.,
•	Reviews work completed to ensure it is up to quality standards.,
•	Enforces all health and safety policies in the shop and jobsite.,
•	Ensures that all deadlines are met.,
•	Addresses and resolves customer issues and complaints.,
•	Orders supplies.,
,
Required Knowledge, Skills and Abilities,
•	Demonstrates strong leadership skills.,
•	Possesses detailed knowledge millwork and custom cabinetry,
•	Works well with all teams.,
•	Exhibits strong customer service and interpersonal skills.,
•	Possesses solid analytical and problem solving abilities.,
•	Demonstrates awareness of all health and safety protocols.,
•	Is able to remain calm and clear-headed in an emergency.,
•	Manages time efficiently.,
•	Is able to multi-task effectively.,
•	Pays attention to detail.,
•	Demonstrates strong organizational skills.,
•	Possesses advanced computer skills.,
•	Is able to read, interpret, and compose work orders.,
•	Communicates clearly and effectively.,
•	Is capable of translating industry terminology into straightforward terms for explanatory purposes.,
•	Is qualified to operate machinery.,
•	Is knowledgeable on materials and finishes,
,
Education and Experience,
•	Millwork, and custom cabinetry experience ,
•	Managerial or supervisory experience required.,
,
Work Environment,
•	The majority of working hours will be spent in the shops participating in and overseeing production and schedules.,
•	Shift may vary from day to evenings.,
•	Weekend hours will be required.,
•	Standard 40-hour workweek applies, though overtime may be necessary.,
•	Some areas of the job site may be hazardous so protective gear should be worn when appropriate.,
,
    "
